sentence,onset,offset,duration
indeed when it is noon in the united states the sun everybody knows is setting over france,1099.755,1105.993,6.237999999999829
it would suffice to be able to go to france in one minute to be able to see a sunset,1106.7559999999999,1111.6950000000002,4.939000000000306
unfortunately france is much too far away but on your tiny planet all you needed was to move your chair a few steps and you watched the twilight falling whenever you liked,1112.383,1123.923,11.539999999999964
one day i saw the sunset forty four times,1124.9650000000001,1127.705,2.7399999999997817
and a little later you added you know you love the sunset when you are really sad,1128.433,1134.26,5.826999999999998
the day you saw it forty four times were you were really that sad then,1135.342,1139.7559999999999,4.41399999999976
but the little prince made no reply,1140.649,1142.368,1.719000000000051
on the fifth day again thanks to the sheep this secret of the little prince 's life was revealed to me,1142.4489999999998,1148.3609999999999,5.912000000000035
he asked abruptly without anything leading up to it as if it was the result of a long silent meditation on a problem,1149.2939999999999,1156.5159999999998,7.22199999999998
if a sheep eats shrubs then does it eat flowers too,1157.569,1161.277,3.7080000000000837
a sheep eats everything it finds,1162.1799999999998,1163.9389999999999,1.7590000000000146
even flowers that have thorns,1164.8619999999999,1166.7469999999998,1.884999999999991
yes even flowers that have thorns,1167.331,1169.45,2.119000000000142
what are the thorns for then,1170.463,1172.173,1.7100000000000364
i did not know the answer,1173.085,1174.2749999999999,1.1899999999998272
i was very busy trying to unscrew a bolt in my engine that had got stuck,1174.475,1178.629,4.153999999999996
i was very worried because my breakdown was beginning to appear to be very serious and i had so little drinking water left that i had to fear the worst,1179.0919999999999,1188.383,9.291000000000167
what are the thorns for then,1189.48,1191.345,1.865000000000009
the little prince never let go of a question once he had asked it,1192.158,1195.2469999999998,3.088999999999942
i was upset over the bolt and i said the first thing that came into my head,1195.6309999999999,1200.075,4.444000000000187
the thorns are of no use at all,1200.7279999999998,1202.493,1.7650000000001
flowers have thorns just for spite,1202.7069999999999,1204.662,1.9550000000001546
oh,1205.6689999999999,1206.114,0.4450000000001637
but after a moment of silence he exclaimed with a sort of resentment,1207.4009999999998,1210.9299999999998,3.5289999999999964
i do not believe you,1211.549,1212.5739999999998,1.0249999999998636
flowers are weak creatures,1212.898,1214.663,1.7650000000001
they are naive,1214.663,1215.532,0.8689999999999145
they reassure themselves as best they can,1215.732,1218.3709999999999,2.6389999999998963
they think themselves frightful with their thorns,1218.9389999999999,1221.528,2.589000000000169
i made no reply,1222.541,1223.61,1.06899999999996
at that moment i was thinking to myself if this bolt will not budge i will knock it out with a hammer,1224.2939999999999,1230.001,5.707000000000107
the little prince interrupted my thoughts again,1231.128,1233.423,2.2950000000000728
and you actually believe that flowers,1234.306,1236.551,2.244999999999891
no no i do not believe it at all,1236.551,1239.04,2.4890000000000327
i answered the first thing that came to my mind,1239.4779999999998,1241.943,2.4650000000001455
i myself am busy with matters of consequence,1242.397,1245.191,2.7940000000000964
he looked at me dumbfounded,1245.979,1247.579,1.599999999999909
matters of consequence,1248.152,1249.787,1.634999999999991
he watched me hammer in hand and my fingers black with grease leaning on an object that would have seemed to him very ugly,1250.49,1257.6119999999999,7.121999999999844
you talk just like the grownups,1258.3,1260.0549999999998,1.7549999999998818
that made me feel a little ashamed but he went on relentlessly,1260.768,1264.6209999999999,3.852999999999838
you confuse everything,1265.344,1266.629,1.2849999999998545
you mix everything up,1266.963,1268.193,1.2300000000000182
he was really very angry,1268.786,1270.341,1.5549999999998363
he shook his golden curls in the breeze,1270.6,1272.995,2.394999999999982
i know a planet where there is a redfaced gentleman,1273.897,1276.661,2.7640000000001237
he has never smelled a flower,1276.856,1278.436,1.5799999999999272
he has never looked at a star,1278.6799999999998,1280.0049999999999,1.3250000000000455
he has never loved anyone,1280.233,1281.744,1.5109999999999673
he has never done anything but sums and all day long he repeats just like you,1282.138,1287.033,4.894999999999982
i am busy with matters of consequence,1287.295,1289.545,2.25
and that makes him swell up with pride,1289.7649999999999,1291.7939999999999,2.0289999999999964
but this is not a man,1292.223,1293.368,1.1449999999999818
he is a mushroom,1293.368,1294.627,1.2590000000000146
a what,1295.211,1295.7659999999998,0.5549999999998363
a mushroom,1296.12,1297.03,0.9100000000000819
the little prince was now white with rage,1297.608,1300.012,2.4039999999999964
flowers have been growing thorns for millions of years,1300.9299999999998,1303.94,3.0100000000002183
for millions of years the sheep have eaten the flowers all the same,1304.264,1307.713,3.449000000000069
and it is not a matter of consequence to try to understand why they take so much trouble to grow thorns which are never of any use,1308.127,1315.071,6.94399999999996
is the war between the flowers and sheep not important,1315.724,1318.683,2.95900000000006
is it not of more consequence and more important than the sums of a fat redfaced gentleman,1318.998,1324.211,5.212999999999965
and if i myself know of a unique flower which grows nowhere but on my planet that a little sheep can destroy in one stroke just like that one morning without realising what he is done,1324.57,1335.425,10.855000000000018
is that not important,1335.425,1337.367,1.9420000000000073
he blushed and continued,1337.9499999999998,1339.379,1.4290000000000873
if someone loves a flower of which just one specimen exists amongst the millions and millions of stars it is enough to make him happy when he looks at them,1340.222,1348.8799999999999,8.657999999999902
he can say my flower is out there somewhere,1349.254,1352.038,2.7840000000001055
but if the sheep eats the flower for him it is as if suddenly all the stars have gone out,1352.617,1357.521,4.903999999999996
and you think that is not important,1357.9099999999999,1359.559,1.6490000000001146
he could not say anything more,1360.4569999999999,1361.7669999999998,1.3099999999999454
he suddenly burst into tears,1362.3509999999999,1364.185,1.83400000000006
night had fallen,1364.923,1365.923,1.0
i had put down my tools of what moment was my hammer my bolt or thirst or death,1366.916,1373.088,6.1720000000000255
there was on a star on a planet my planet earth a little prince to be comforted,1373.906,1379.857,5.951000000000022
i took him in my arms,1380.61,1381.955,1.3450000000000273
i rocked him,1382.1989999999998,1382.899,0.7000000000000455
i said the flower that you love is not in danger,1383.163,1386.606,3.4429999999999836
i will draw you a muzzle for your sheep,1387.19,1389.3049999999998,2.1149999999997817
i will draw you a railing for your flower,1389.3049999999998,1391.475,2.1700000000000728
i,1391.475,1391.675,0.20000000000004547
i,1391.675,1391.783,0.10799999999994725
i was not sure what to say,1392.616,1393.936,1.3199999999999363
i felt very awkward,1394.8039999999999,1396.129,1.3250000000000455
i did not know how to reach him where to find him,1396.657,1399.052,2.394999999999982
it is so secretive the land of tears,1399.8249999999998,1402.109,2.2840000000001055
i learned very quickly to know this flower better,1403.203,1406.1019999999999,2.8989999999998872
there had always been very simple flowers on the planet of the little prince decorated with a single row of petals that did not take up any space and did not bother anyone,1406.781,1417.062,10.280999999999949
they would appear one morning in the grass and by evening they would have faded away,1417.62,1422.3039999999999,4.683999999999969
but this one had sprouted one day from a seed blown in from no one knows where and the little prince had watched very closely this sprout that was not like the other sprouts,1423.1419999999998,1433.4669999999999,10.325000000000045
it could have been a new kind of baobab,1434.016,1435.8899999999999,1.8739999999997963
but the shrub soon stopped growing and began to produce a flower,1436.663,1440.991,4.3279999999999745
the little prince who witnessed the appearance of a huge bud felt that a miraculous apparition must emerge from it,1441.8739999999998,1449.221,7.347000000000207
but the flower never stopped preparing for her future beauty,1449.864,1453.139,3.2749999999998636
safe in her green chamber she chose her colors carefully,1453.139,1457.3159999999998,4.176999999999907
she dressed slowly,1457.615,1458.81,1.1949999999999363
she arranged her petals one by one,1459.029,1461.739,2.7100000000000364
she did not want to come out all rumpled like the poppies,1462.048,1465.591,3.5429999999998927
she would only want to appear in the full radiance of her beauty,1465.995,1470.059,4.064000000000078
oh yes she was a very flirtatious creature,1470.612,1473.9009999999998,3.28899999999976
and her mysterious adornment had thus lasted for days and days,1474.474,1479.3519999999999,4.877999999999929
then one morning exactly at sunrise she suddenly showed herself,1480.0059999999999,1485.134,5.128000000000156
and after having worked with such care and attention to detail she said with a yawn oh i have only just woken up,1485.682,1494.4969999999998,8.814999999999827
i do apologize,1494.801,1495.9759999999999,1.1749999999999545
i am not yet presentable,1495.9759999999999,1497.29,1.3140000000000782
the little prince could not restrain his admiration,1498.248,1500.812,2.563999999999851
you are so beautiful,1501.596,1503.07,1.4739999999999327
am i not,1503.724,1504.683,0.95900000000006
the flower responded sweetly,1504.918,1506.7869999999998,1.8689999999999145
and i was born at the same moment as the sun,1507.5,1509.915,2.4149999999999636
the little prince guessed easily enough that she was not very modest,1510.947,1514.731,3.7840000000001055
but how moving she was,1515.1499999999999,1516.92,1.7700000000002092
it is time i think for breakfast,1518.013,1520.2579999999998,2.244999999999891
she added an instant later,1520.2579999999998,1521.9009999999998,1.643000000000029
if you would have the kindness to think of my needs,1522.67,1525.254,2.5839999999998327
and the little prince completely abashed having gone to look for a sprinkling can of fresh water tended to the flower,1525.9569999999999,1533.353,7.3960000000001855
and like that she had soon begun to torment him with her vanity,1533.862,1537.96,4.097999999999956
one day for example speaking of her four thorns she told the little prince let them come the tigers with their claws,1538.609,1546.615,8.006000000000085
there are not any tigers on my planet,1547.3229999999999,1549.368,2.0450000000000728
the little prince objected,1549.632,1550.9409999999998,1.3089999999997417
and tigers do not eat weeds,1551.1309999999999,1553.1499999999999,2.0190000000000055
i am not a weed,1553.8429999999998,1555.023,1.1800000000000637
