Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner
7247,abeilles,abeilles,2691.26,2691.67,0.7474118156555553,NC,5,1,4,2
7248,mais,mais,2692.3,2692.53,3.714371678047351,CC,5,3,1,2
7249,non,non,2692.5800000000004,2692.8500000000004,3.606789667937543,ADV,5,1,1,1
7250,des,des,2692.9700000000003,2693.2000000000003,3.782165069204706,P,5,2,1,2
7251,petites,petites,2693.2000000000003,2693.44,1.862012051846939,ADJ,5,2,1,2
7252,choses,choses,2693.44,2693.75,2.6550038980811,NC,5,1,1,1
7253,dorées,dorées,2693.75,2694.1200000000003,0.0453230179122846,ADJ,5,2,2,2
7254,qui,qui,2694.1200000000003,2694.26,3.7416651970487536,PROREL,5,3,2,3
7255,font,font,2694.26,2694.48,2.2869277851835688,V,5,2,2,2
7256,rêvasser,rêvasser,2694.48,2694.9100000000003,-0.2924297387462912,VINF,5,3,2,3
7257,les,les,2694.9100000000003,2695.01,3.99830860799912,DET,5,2,1,2
7258,fainéants,fainéants,2695.01,2695.53,0.3180633558423034,NC,5,1,9,2
7259,mais,mais,2695.9,2696.06,3.714371678047351,CC,5,3,1,2
7260,je,je,2696.06,2696.1600000000003,4.414780879467412,CLS,5,2,1,2
7261,suis,suis,2696.1600000000003,2696.3700000000003,3.5752571417213,V,5,1,2,2
7262,sérieux,sérieux,2696.3700000000003,2696.82,2.035709838227875,ADJ,5,2,2,2
7263,moi,moi,2696.82,2697.09,3.567763687458981,PRO,5,2,5,3
7264,je,je,2697.42,2697.55,4.414780879467412,CLS,5,3,1,2
7265,n',n',2697.55,2697.63,3.947471953809069,ADV,5,1,1,1
7266,ai,ai,2697.63,2697.77,3.867931587226076,V,5,1,2,2
7267,pas,pas,2697.77,2697.9300000000003,4.262811902599896,ADV,5,1,1,1
7268,le,le,2697.9300000000003,2698.07,4.229259370610864,DET,5,2,1,2
7269,temps,temps,2698.07,2698.27,3.013279726622988,NC,5,1,1,1
7270,de,de,2698.27,2698.3700000000003,4.401761613355665,P,5,2,1,2
7271,rêvasser,rêvasser,2698.3700000000003,2698.94,-0.2924297387462912,NC,5,2,6,3
7272,ah,ah,2699.8900000000003,2700.65,2.7608219110043484,NC,5,3,1,2
7273,des,des,2700.65,2700.96,3.782165069204706,P,5,2,1,2
7274,étoiles,étoiles,2700.96,2701.4700000000003,1.5190400399627952,NC,5,2,6,3
7275,c',c',2702.03,2702.15,-5.958607314841776,CLS,5,3,1,2
7276,est,est,2702.15,2702.2400000000002,4.358377487435835,V,5,1,2,2
7277,bien,bien,2702.2400000000002,2702.42,3.6372575100302114,ADV,5,1,1,1
7278,ça,ça,2702.42,2702.75,3.9528820040244574,PRO,5,2,1,2
7279,des,des,2702.88,2703.1000000000004,3.782165069204706,P,5,2,1,2
7280,étoiles,étoiles,2703.1000000000004,2703.58,1.5190400399627952,NC,5,2,6,3
7281,et,et,2703.58,2703.61,4.110895292218618,CC,5,3,1,2
7282,que,que,2703.92,2703.94,3.6128791792035377,CS,5,2,1,2
7283,fais,fais,2704.54,2705.09,3.1433021519084705,V,5,2,1,2
7284,-tu,tu,2705.09,2705.25,4.166423896907322,CLS,5,1,2,2
7285,de,de,2705.25,2705.33,4.401761613355665,P,5,2,1,2
7286,cinq,cinq,2705.33,2705.6600000000003,2.209407768364525,DET,5,3,1,2
7287,cents,cents,2705.6600000000003,2705.79,1.442009160710502,DET,5,1,2,2
7288,millions,millions,2705.79,2706.15,1.9440876799094,NC,5,1,1,1
7289,d',d',2706.15,2706.21,3.858826430391473,P,5,2,1,2
7290,étoiles,étoiles,2706.21,2706.76,1.5190400399627952,NC,5,2,9,3
7291,cinq,cinq,2707.9100000000003,2708.33,2.209407768364525,DET,5,4,1,2
7292,cent,cent,2708.33,2708.5600000000004,1.7389390319956983,DET,5,1,1,1
7293,un,un,2708.5600000000004,2708.6200000000003,4.10330930142218,DET,5,1,2,2
7294,millions,millions,2708.77,2709.2400000000002,1.9440876799094,NC,5,1,1,1
7295,six,six,2709.2400000000002,2709.6200000000003,2.0695571049527164,ADJ,5,3,1,2
7296,cent,cent,2709.6200000000003,2709.75,1.7389390319956983,ADJ,5,1,1,1
7297,vingt,vingt,2709.75,2710.02,1.4693801373236086,ADJ,5,1,1,1
7298,-deux,deux,2710.02,2710.15,3.0038954704655803,ADJ,5,1,3,2
7299,mille,mille,2710.15,2710.54,1.911636933661731,ADJ,5,3,1,2
